2022-11-16 21:45:31,333 INFO    Thread-49 :143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:45:31,333 INFO    Thread-49 :143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:45:31,333 INFO    Thread-49 :143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:49:51,992 INFO    Thread-49 :143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/d6wbcdvl
2022-11-16 21:49:51,992 INFO    Thread-49 :143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 21:49:51,992 INFO    Thread-49 :143091 [wandb_run.py:_restore():1932] restore
2022-11-16 21:49:51,992 INFO    Thread-49 :143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 21:49:58,686 INFO    Thread-49 :143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 21:49:58,686 INFO    Thread-49 :143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 21:49:58,689 INFO    Thread-49 :143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'lj8bt2ty', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-lj8bt2ty.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215009-lj8bt2ty/logs/debug.log
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215009-lj8bt2ty/logs/debug-internal.log
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 128, 'dropout': 0.2499765962052932, 'epochs': 58, 'learning_rate': 0.09428231213293936, 'size_1': 88, 'size_2': 210, 'size_3': 109, 'size_4': 69, 'size_5': 120}
config: {}
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:init():569] starting backend
2022-11-16 21:50:09,436 INFO    Thread-76 :143091 [wandb_init.py:init():573] setting up manager
